Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Valor,SEXE,EDAT_1
2023-01-01,1,Ciutat Vella,1,el Raval,2,48,1,32
2023-01-01,1,Ciutat Vella,1,el Raval,2,58,1,33
2023-01-01,1,Ciutat Vella,1,el Raval,2,58,1,34
2023-01-01,1,Ciutat Vella,1,el Raval,2,52,1,35
2023-01-01,1,Ciutat Vella,1,el Raval,2,44,1,36
2023-01-01,1,Ciutat Vella,1,el Raval,2,51,1,37
2023-01-01,1,Ciutat Vella,1,el Raval,2,49,1,38
2023-01-01,1,Ciutat Vella,1,el Raval,2,46,1,39
2023-01-01,1,Ciutat Vella,1,el Raval,2,41,1,40
2023-01-01,1,Ciutat Vella,1,el Raval,2,42,1,41
2023-01-01,1,Ciutat Vella,1,el Raval,2,45,1,42
2023-01-01,1,Ciutat Vella,1,el Raval,2,41,1,43
2023-01-01,1,Ciutat Vella,1,el Raval,2,27,1,44
2023-01-01,1,Ciutat Vella,1,el Raval,2,44,1,45
2023-01-01,1,Ciutat Vella,1,el Raval,2,30,1,46
2023-01-01,1,Ciutat Vella,1,el Raval,2,39,1,47
2023-01-01,1,Ciutat Vella,1,el Raval,2,40,1,48
2023-01-01,1,Ciutat Vella,1,el Raval,2,47,1,49
2023-01-01,1,Ciutat Vella,1,el Raval,2,28,1,50
2023-01-01,1,Ciutat Vella,1,el Raval,2,31,1,51
2023-01-01,1,Ciutat Vella,1,el Raval,2,37,1,52
2023-01-01,1,Ciutat Vella,1,el Raval,2,27,1,53
2023-01-01,1,Ciutat Vella,1,el Raval,2,34,1,54
2023-01-01,1,Ciutat Vella,1,el Raval,2,31,1,55
2023-01-01,1,Ciutat Vella,1,el Raval,2,28,1,56
2023-01-01,1,Ciutat Vella,1,el Raval,2,39,1,57
2023-01-01,1,Ciutat Vella,1,el Raval,2,36,1,58
2023-01-01,1,Ciutat Vella,1,el Raval,2,28,1,59
2023-01-01,1,Ciutat Vella,1,el Raval,2,32,1,60
2023-01-01,1,Ciutat Vella,1,el Raval,2,28,1,61
2023-01-01,1,Ciutat Vella,1,el Raval,2,24,1,62
2023-01-01,1,Ciutat Vella,1,el Raval,2,26,1,63
2023-01-01,1,Ciutat Vella,1,el Raval,2,22,1,64
2023-01-01,1,Ciutat Vella,1,el Raval,2,24,1,65
2023-01-01,1,Ciutat Vella,1,el Raval,2,27,1,66
2023-01-01,1,Ciutat Vella,1,el Raval,2,23,1,67
2023-01-01,1,Ciutat Vella,1,el Raval,2,21,1,68
2023-01-01,1,Ciutat Vella,1,el Raval,2,16,1,69
2023-01-01,1,Ciutat Vella,1,el Raval,2,11,1,70
2023-01-01,1,Ciutat Vella,1,el Raval,2,13,1,71
2023-01-01,1,Ciutat Vella,1,el Raval,2,5,1,72
2023-01-01,1,Ciutat Vella,1,el Raval,2,19,1,73
2023-01-01,1,Ciutat Vella,1,el Raval,2,10,1,74
2023-01-01,1,Ciutat Vella,1,el Raval,2,17,1,75
2023-01-01,1,Ciutat Vella,1,el Raval,2,12,1,76
2023-01-01,1,Ciutat Vella,1,el Raval,2,17,1,77
2023-01-01,1,Ciutat Vella,1,el Raval,2,11,1,78
2023-01-01,1,Ciutat Vella,1,el Raval,2,9,1,79
2023-01-01,1,Ciutat Vella,1,el Raval,2,14,1,80
